amcl_x,amcl_y,robot_x,robot_y
0.5,0.5,0.500000000724003,0.5
0.20040986346056175,0.7263441577002099,0.20762014243875904,0.7218366748031466
-0.06382487384451922,0.9115019446680591,-0.054517510210857247,0.9081395170629484
-0.21017403002495577,0.9824355914941557,-0.21162453202792827,0.9951230780613929
-0.3083589248285396,1.008107275301188,-0.30637737479334465,1.024028167996294
-0.3779048689786975,1.0200135694762382,-0.3680881206793968,1.0316518857767116
-0.4094123545159763,1.0271299314372666,-0.4010697908708343,1.0314224780151526
-0.42908559420390924,1.030442228974013,-0.41478506030330464,1.0318513032623933
-0.43926564319784817,1.0296593669051692,-0.41871450181185305,1.0316560797607595
-0.4419410218441113,1.0297588399691195,-0.4211415982985181,1.029332058301922
-0.4417039809587833,1.0210493320965235,-0.42692071736317194,1.0207766694182394
-0.6770042902726989,1.178627719540738,-0.6677885014856226,1.1717898215040405
-0.7407793805303682,1.1366250462478513,-0.7291914311760198,1.1322470571189986
-0.797840477828747,1.0134392311006355,-0.7889612464827295,1.0063422941716913
-0.7361395946290814,0.9124597041310315,-0.7281839706744516,0.9104254428151669
-0.6609322960564595,0.7386595897663414,-0.6454586287196811,0.7348364922019748
-0.6467970311664383,0.4720093870460816,-0.6371429542508922,0.48506343303170113
-0.6470251050076394,0.20465733661366914,-0.6417156477461582,0.2175520961979162
-0.6746833276900074,-0.08881057009716871,-0.673323951165479,-0.07945524421424285
-0.6850948954910381,-0.35051347756839285,-0.6828075564772282,-0.3505055467971447
-0.67337295989452,-0.62540888797653,-0.6780112538284825,-0.6347771077741884
-0.6373625769208658,-0.8817170487630516,-0.6504725463613774,-0.8877031519949827
-0.6022300307278,-1.1002760853187137,-0.5986048048607698,-1.103856786260911
-0.5851672663034785,-1.1821581722176941,-0.5828114652252342,-1.1772160602962074
-0.5947008487289279,-1.2054455148443197,-0.587679456912416,-1.1955847781089246
-0.6061300003966483,-1.205997803116201,-0.598080543860796,-1.191348589017331
-0.6214231268311863,-1.1721160066569642,-0.603806168750064,-1.1649707549276218
-0.35943656799512014,-1.1200389322298665,-0.32873635608591767,-1.1100411287596859
-0.11556160540932806,-1.0422982634806919,-0.07540483681534242,-1.0324931292401929
-0.023946905549571122,-1.0037777311412828,0.0005658992847608318,-0.9909049365308099
0.028538306245766632,-0.9830678336836592,0.03955124617909637,-0.9629297740856291
0.052996287727393454,-0.9675976839849628,0.057382211370825366,-0.9532865894577653
0.06087521484667092,-0.9671822615526116,0.062422818859137294,-0.9527934337547512
0.05283922600809623,-0.9828827744797608,0.059594747104961376,-0.9538240059087751
0.04136619746079345,-0.9679845754176519,0.049797647879840486,-0.936561000698529
0.18176782431868427,-0.8711651760196281,0.18244671240895324,-0.8417860650911273
0.2566114249164797,-0.8890454108428784,0.24918022622953667,-0.8732343130835039
0.2978896968288447,-0.7970333278990425,0.2882325149641007,-0.783540868441093
0.42746258726651576,-0.5265543772965046,0.4244396256671838,-0.5272377964126759
0.522869271459259,-0.27888966149241423,0.5171988881738898,-0.2728494127968111
0.5506746214761506,0.061276270913456596,0.5525550781467626,0.06414584924095532
0.5446970538439723,0.3356448336722013,0.556664964363703,0.34197384152242843
0.5455454023332207,0.5935544796122976,0.5610281559875605,0.5988412921695037
0.5755576536445713,0.8442244955382966,0.5916650192250701,0.8516650449502497
0.518732655534973,0.5924386907927155,0.5269325942324098,0.5923521649430514
0.5735034566239506,0.3311882163712912,0.5738836944015604,0.3222232368517935
0.6292398426251314,0.1812546054687173,0.624057973016763,0.1708724028833394
0.617340149213328,-0.08674557388276949,0.6107744633553245,-0.09792350367587017
0.561988289608589,-0.3875190705955484,0.5497937696940203,-0.3850535469147918
0.27286306758657447,-0.6187747860158187,0.252492908159611,-0.6094222739524224
-0.005030827673977071,-0.7461235693651839,-0.027568693356743692,-0.7259560590205324
-0.26625706247595043,-0.8330840736732285,-0.30280032052517813,-0.8081521518387431
-0.5040266971711851,-0.9293057355972768,-0.5321378035690488,-0.8970961224683062
-0.6908289232733462,-1.0356204052995337,-0.7046582681203625,-1.0059030562350748
-0.7651708608850372,-1.07631309731267,-0.7700170911360543,-1.0543406435767297
-0.7590438296702218,-1.0632453665333559,-0.7455978941753574,-1.0481638708176946
-0.7605483078034257,-1.067378052324793,-0.7532384847183898,-1.046796729483585
-0.7662009463471217,-1.0702009042835217,-0.758925494428061,-1.0384749868968883
-0.7772552451941078,-1.0161934992051467,-0.7684751823471596,-0.9898793376056177
-0.7862238178161353,-0.901381575365929,-0.7777567488833816,-0.873746954876494
-0.7477288720479385,-0.6117365843974389,-0.7391223424022446,-0.5943486039199423
-0.6738432146343798,-0.32997484896656964,-0.658675562589102,-0.31670220688463613
-0.6198877254754088,-0.05961779400766417,-0.5958789567203279,-0.03657454422135047
-0.5930832047062361,0.21551140041633207,-0.5663932090806335,0.24983325297875883
-0.5644898524188243,0.5167054834024941,-0.5421889873890372,0.562130053058294
-0.5300328613844302,0.7811465222279912,-0.5017481194099734,0.8245995737568929
