x value,timestamp,topic,value
0.5,1766740132.061914693,/amcl_pose.pose.pose.position.y,0.5
0.2272897747366587,1766740137.451344569,/amcl_pose.pose.pose.position.y,0.5
0.14576710958772796,1766740138.450464053,/amcl_pose.pose.pose.position.y,0.5004452249831642
0.1377848366460043,1766740138.651330374,/amcl_pose.pose.pose.position.y,0.5016925722319232
0.40955438589378973,1766740139.453370245,/amcl_pose.pose.pose.position.y,0.3495926161679748
0.6956045778409163,1766740140.054695199,/amcl_pose.pose.pose.position.y,0.1784669572668542
0.8186159160629116,1766740140.355629503,/amcl_pose.pose.pose.position.y,0.08550601060248583
0.8330153943448525,1766740140.556347136,/amcl_pose.pose.pose.position.y,0.07850352336912578
0.8402294727445224,1766740140.758558677,/amcl_pose.pose.pose.position.y,0.0743236672632235
0.8369040120367605,1766740141.860434353,/amcl_pose.pose.pose.position.y,-0.05095589047575344
0.8123476866676792,1766740142.262554047,/amcl_pose.pose.pose.position.y,-0.12186335281970145
0.6935540984676595,1766740143.063984352,/amcl_pose.pose.pose.position.y,-0.38518518173878263
0.5642520343172366,1766740143.666610885,/amcl_pose.pose.pose.position.y,-0.6482523041538099
0.45167541223323726,1766740144.268521513,/amcl_pose.pose.pose.position.y,-0.9083806827633514
0.3379916241214415,1766740144.668970990,/amcl_pose.pose.pose.position.y,-1.0653136436820667
0.2359664687903053,1766740144.872625324,/amcl_pose.pose.pose.position.y,-1.1267522904699672
0.15304130010856679,1766740145.071104790,/amcl_pose.pose.pose.position.y,-1.1715529926260746
0.06001407753302352,1766740145.271373736,/amcl_pose.pose.pose.position.y,-1.1814053437461833
-0.0338724687264547,1766740145.473687037,/amcl_pose.pose.pose.position.y,-1.1689691715353594
-0.12372322054612575,1766740145.674706274,/amcl_pose.pose.pose.position.y,-1.120846394907688
-0.16811954549594277,1766740145.875981728,/amcl_pose.pose.pose.position.y,-1.045977701063227
-0.32970841868299305,1766740146.575900476,/amcl_pose.pose.pose.position.y,-0.7668994903956885
-0.4044412171461477,1766740146.777165431,/amcl_pose.pose.pose.position.y,-0.7018207034575114
-0.4824648418640956,1766740146.977696176,/amcl_pose.pose.pose.position.y,-0.6558915392463776
-0.7374084347876545,1766740147.578743093,/amcl_pose.pose.pose.position.y,-0.5081999946753964
-0.4812859225902964,1766740148.582068370,/amcl_pose.pose.pose.position.y,-0.8045316835720159
-0.5420407096403753,1766740164.025358425,/amcl_pose.pose.pose.position.y,-0.7456987381241886
-0.5442861594238708,1766740164.726836118,/amcl_pose.pose.pose.position.y,-0.7355739093129482
-0.5439601502469893,1766740164.927311050,/amcl_pose.pose.pose.position.y,-0.7329239745835535
-0.558033061036723,1766740166.132009774,/amcl_pose.pose.pose.position.y,-0.5905161198541967
-0.5610460395739425,1766740166.432320548,/amcl_pose.pose.pose.position.y,-0.5262091882644783
-0.5417681924712309,1766740167.735675372,/amcl_pose.pose.pose.position.y,-0.4439012701353808
-0.5443734481244734,1766740167.935706586,/amcl_pose.pose.pose.position.y,-0.4510170582781989
-0.5500813861400443,1766740168.237535614,/amcl_pose.pose.pose.position.y,-0.44499552273994963
-0.7629539576407185,1766740169.041164420,/amcl_pose.pose.pose.position.y,-0.1404478653242725
-0.8080654035682872,1766740169.240600674,/amcl_pose.pose.pose.position.y,-0.05838092409913807
-0.8114321636942929,1766740169.441069024,/amcl_pose.pose.pose.position.y,0.030850511564891613
-0.793020859262414,1766740169.642975037,/amcl_pose.pose.pose.position.y,0.13486060540463854
-0.7496502839127488,1766740169.842780721,/amcl_pose.pose.pose.position.y,0.2184100047050217
-0.5470053788806513,1766740170.544769449,/amcl_pose.pose.pose.position.y,0.4656042420228178
-0.34425056545129745,1766740171.146953634,/amcl_pose.pose.pose.position.y,0.7218575761634086
-0.24817516333730325,1766740171.347519226,/amcl_pose.pose.pose.position.y,0.7866576687705116
-0.13948401952033804,1766740171.547225414,/amcl_pose.pose.pose.position.y,0.8192607188052811
-0.03999442798016533,1766740171.747676261,/amcl_pose.pose.pose.position.y,0.8290233936949172
0.23352526866158263,1766740172.249902166,/amcl_pose.pose.pose.position.y,0.806205626143608
0.44926216584924866,1766740172.652025161,/amcl_pose.pose.pose.position.y,0.8076893599239108
0.563817345109046,1766740172.852264544,/amcl_pose.pose.pose.position.y,0.8411573707576182
0.6432544196192354,1766740173.052293164,/amcl_pose.pose.pose.position.y,0.9031368548433938
0.7062559395693035,1766740173.252365435,/amcl_pose.pose.pose.position.y,0.973735623225144
0.8544719364442932,1766740173.753792870,/amcl_pose.pose.pose.position.y,1.2549935426498118
0.9584073020919802,1766740173.954336972,/amcl_pose.pose.pose.position.y,1.3596099559146877
1.0411131416594497,1766740174.053963323,/amcl_pose.pose.pose.position.y,1.3954822384760417
1.04722827064327,1766740174.155651171,/amcl_pose.pose.pose.position.y,1.4196591941584824
1.0479832601004333,1766740174.256142646,/amcl_pose.pose.pose.position.y,1.4257653280192044
1.064871273818041,1766740174.456859370,/amcl_pose.pose.pose.position.y,1.415748074758624
1.0699307911776523,1766740175.258406254,/amcl_pose.pose.pose.position.y,1.4199980556276235
1.0742207335910363,1766740175.459248632,/amcl_pose.pose.pose.position.y,1.4179561884742282
1.2750452232579739,1766740176.662457351,/amcl_pose.pose.pose.position.y,1.1396416717319418
1.276336703738585,1766740178.269844070,/amcl_pose.pose.pose.position.y,1.1322647563206796
1.2820526835339379,1766740178.570137543,/amcl_pose.pose.pose.position.y,1.1307420602482998
1.2795546581804458,1766740178.872059264,/amcl_pose.pose.pose.position.y,1.1308278362291835
1.2824132933909955,1766740179.171606615,/amcl_pose.pose.pose.position.y,1.1114652289919758
1.2773683098830393,1766740179.473013125,/amcl_pose.pose.pose.position.y,1.1123412909120822
1.280534139887358,1766740179.772700638,/amcl_pose.pose.pose.position.y,1.1050372307770615
1.2749788235519073,1766740180.071976221,/amcl_pose.pose.pose.position.y,1.1062730260001965
1.2674147388233248,1766740180.375579942,/amcl_pose.pose.pose.position.y,1.1000049282380961
1.2777882190308052,1766740180.676455782,/amcl_pose.pose.pose.position.y,1.0911041409836144
1.2708368149774651,1766740180.977704207,/amcl_pose.pose.pose.position.y,1.0914219867603816
1.2789289596468183,1766740181.279060103,/amcl_pose.pose.pose.position.y,1.0971513803421507
1.2820592904389658,1766740181.579079415,/amcl_pose.pose.pose.position.y,1.0958347877564576
1.2870024575655494,1766740181.881060117,/amcl_pose.pose.pose.position.y,1.0974356087035808
1.286909628384619,1766740182.180336392,/amcl_pose.pose.pose.position.y,1.1015965256872158
1.2858412785374906,1766740182.482002828,/amcl_pose.pose.pose.position.y,1.0953872975480463
1.287615976414314,1766740182.781668540,/amcl_pose.pose.pose.position.y,1.0956080010940727
1.287979445728825,1766740183.080849808,/amcl_pose.pose.pose.position.y,1.0967770157032908
1.289199677103122,1766740183.383167799,/amcl_pose.pose.pose.position.y,1.0935655136393703
1.2870660358654475,1766740184.585722270,/amcl_pose.pose.pose.position.y,1.0880322607967283
1.2935431838250664,1766740185.887654910,/amcl_pose.pose.pose.position.y,1.0773536275902247
1.0510456647186985,1766740187.292544658,/amcl_pose.pose.pose.position.y,1.0134914379591708
0.8044450295354922,1766740188.396961497,/amcl_pose.pose.pose.position.y,0.9600911853901659
0.542322987279155,1766740189.699357023,/amcl_pose.pose.pose.position.y,0.8967395249451457
0.2831034440413344,1766740190.903542300,/amcl_pose.pose.pose.position.y,0.8333255994282963
0.1358299376565326,1766740191.304484114,/amcl_pose.pose.pose.position.y,0.8058606582148767
0.006684507959170226,1766740191.605593751,/amcl_pose.pose.pose.position.y,0.8176363554751835
-0.20703073039747788,1766740192.107973607,/amcl_pose.pose.pose.position.y,0.9035591004408624
-0.48808472602071495,1766740192.909487003,/amcl_pose.pose.pose.position.y,1.066448880634256
-0.7929552574054797,1766740193.711628973,/amcl_pose.pose.pose.position.y,1.2297603976487783
-0.9160718385908009,1766740194.614269288,/amcl_pose.pose.pose.position.y,1.3044730338882813
-0.9226950280716538,1766740194.814423823,/amcl_pose.pose.pose.position.y,1.3042213648211092
-0.9253608221801967,1766740195.015072879,/amcl_pose.pose.pose.position.y,1.3006693117096717
-0.9277829355304676,1766740195.217345978,/amcl_pose.pose.pose.position.y,1.2995878373467609
-0.9152034917379079,1766740195.416201678,/amcl_pose.pose.pose.position.y,1.310128956124313
-0.9233281400875974,1766740195.616515822,/amcl_pose.pose.pose.position.y,1.3139971465349312
-0.9288143318962843,1766740195.817986759,/amcl_pose.pose.pose.position.y,1.313398098201752
-0.9216867556055133,1766740196.018328304,/amcl_pose.pose.pose.position.y,1.3195440214063963
-0.9279206788558665,1766740196.217775136,/amcl_pose.pose.pose.position.y,1.3111978351134865
-0.9264881935912294,1766740196.418892667,/amcl_pose.pose.pose.position.y,1.310256300472477
-0.8198229482191599,1766740197.923533062,/amcl_pose.pose.pose.position.y,1.0529265024573238
-0.7741775018020358,1766740198.325557099,/amcl_pose.pose.pose.position.y,0.9554441823300477
-0.7717423107621483,1766740198.626122929,/amcl_pose.pose.pose.position.y,0.8728350451989039
-0.7980246861879016,1766740199.630852633,/amcl_pose.pose.pose.position.y,0.616900432817566
-0.7285748498626134,1766740200.833715280,/amcl_pose.pose.pose.position.y,0.374090637599659
-0.6493113773246767,1766740201.735512301,/amcl_pose.pose.pose.position.y,0.1274194877692022
-0.608458588270488,1766740202.337747446,/amcl_pose.pose.pose.position.y,-0.038539574867005114
-0.6047495321249007,1766740202.539094024,/amcl_pose.pose.pose.position.y,-0.10197466525919664
-0.6342674271782822,1766740202.740074281,/amcl_pose.pose.pose.position.y,-0.1627284688595962
-0.7939221667688849,1766740203.943372643,/amcl_pose.pose.pose.position.y,-0.47020098558155865
-0.8128185943120327,1766740204.244351569,/amcl_pose.pose.pose.position.y,-0.5553534704503411
-0.7972226584405449,1766740205.147081604,/amcl_pose.pose.pose.position.y,-0.807778897060039
-0.7740696162223467,1766740206.049026425,/amcl_pose.pose.pose.position.y,-1.0871547351530073
-0.7740307563999081,1766740206.550763899,/amcl_pose.pose.pose.position.y,-1.096306324901207
-0.7677759693462484,1766740206.751944696,/amcl_pose.pose.pose.position.y,-1.105258461240866
-0.7678252758828413,1766740206.952921373,/amcl_pose.pose.pose.position.y,-1.107059114765072
-0.7719322324303014,1766740207.152896659,/amcl_pose.pose.pose.position.y,-1.1108544983339121
-0.7814052201360466,1766740207.353272931,/amcl_pose.pose.pose.position.y,-1.110237342432269
-0.7732822355059931,1766740207.553694317,/amcl_pose.pose.pose.position.y,-1.1071677214668576
-0.7597245085750356,1766740207.757835045,/amcl_pose.pose.pose.position.y,-1.1118506630787262
-0.7686955544967387,1766740207.958515623,/amcl_pose.pose.pose.position.y,-1.1140476772053607
-0.7696340613256413,1766740208.158446227,/amcl_pose.pose.pose.position.y,-1.1191560430151866
-0.7708616947857505,1766740208.358120174,/amcl_pose.pose.pose.position.y,-1.1309593715911535
-0.7687084508488589,1766740208.559380343,/amcl_pose.pose.pose.position.y,-1.1269161101481866
-0.7697789462502327,1766740208.760035185,/amcl_pose.pose.pose.position.y,-1.120217025893291
-0.769471505416969,1766740208.959240590,/amcl_pose.pose.pose.position.y,-1.110003067218804
-0.7694538455888696,1766740209.159905342,/amcl_pose.pose.pose.position.y,-1.1096724561874338
-0.7766317406066843,1766740209.360604238,/amcl_pose.pose.pose.position.y,-1.113930818944194
-0.7693806114111817,1766740209.561741310,/amcl_pose.pose.pose.position.y,-1.1118652316461972
-0.7701240710259304,1766740209.761958469,/amcl_pose.pose.pose.position.y,-1.1140442008923366
-0.7791620787828927,1766740209.962394246,/amcl_pose.pose.pose.position.y,-1.1112160455705382
-0.7788813453350023,1766740210.161829311,/amcl_pose.pose.pose.position.y,-1.110499466878772
-0.7822739299387446,1766740210.363748390,/amcl_pose.pose.pose.position.y,-1.1082838498452399
-0.7845474688838963,1766740210.563312577,/amcl_pose.pose.pose.position.y,-1.100601811024964
-0.790849863656733,1766740210.764908945,/amcl_pose.pose.pose.position.y,-1.113670666852176
-0.798662629609171,1766740210.965810239,/amcl_pose.pose.pose.position.y,-1.1200733939392213
-0.8001002749137313,1766740211.165306010,/amcl_pose.pose.pose.position.y,-1.1242630033824805
-0.808468844288911,1766740211.366051616,/amcl_pose.pose.pose.position.y,-1.1210421744447088
-0.8122650644987804,1766740211.567869699,/amcl_pose.pose.pose.position.y,-1.1256192956969866
-0.8026330699233143,1766740211.767924708,/amcl_pose.pose.pose.position.y,-1.1272705556530065
-0.8046865689038184,1766740211.967422744,/amcl_pose.pose.pose.position.y,-1.1337903005985035
-0.796970648530026,1766740212.168538821,/amcl_pose.pose.pose.position.y,-1.1302791382305648
-0.8023959213999369,1766740212.368936793,/amcl_pose.pose.pose.position.y,-1.1353560309392035
-0.792845360469705,1766740212.571407331,/amcl_pose.pose.pose.position.y,-1.1333028206065718
-0.7791934180617055,1766740212.771364403,/amcl_pose.pose.pose.position.y,-1.1376581127463552
-0.7865046683147235,1766740212.971778955,/amcl_pose.pose.pose.position.y,-1.1329336019998857
-0.7770949353475877,1766740213.170981814,/amcl_pose.pose.pose.position.y,-1.1279245617031346
-0.7818216878128078,1766740213.371833662,/amcl_pose.pose.pose.position.y,-1.1360434020855223
-0.7761849205174906,1766740213.571805202,/amcl_pose.pose.pose.position.y,-1.1459047941635963
-0.7733966558949835,1766740213.773149496,/amcl_pose.pose.pose.position.y,-1.1359493793361402
-0.7761867354124822,1766740213.973620345,/amcl_pose.pose.pose.position.y,-1.1311479437389425
-0.5011264837248691,1766740216.779245059,/amcl_pose.pose.pose.position.y,-1.072868750705502
-0.22348456477756384,1766740217.782693795,/amcl_pose.pose.pose.position.y,-1.019078057537118
0.057198530006398296,1766740218.784652226,/amcl_pose.pose.pose.position.y,-0.9695783050152712
0.19132280223665224,1766740219.488056001,/amcl_pose.pose.pose.position.y,-0.9574832492840316
0.20494405983271013,1766740219.788149330,/amcl_pose.pose.pose.position.y,-0.9521272951986711
0.4283210832404004,1766740221.293228223,/amcl_pose.pose.pose.position.y,-0.7561905605330306
0.4848306453916974,1766740221.693748525,/amcl_pose.pose.pose.position.y,-0.6711857705258734
0.5210066801922625,1766740221.995915849,/amcl_pose.pose.pose.position.y,-0.5945314409451586
0.5504144857718243,1766740222.396544086,/amcl_pose.pose.pose.position.y,-0.501355924363075
0.537993998992216,1766740223.398807316,/amcl_pose.pose.pose.position.y,-0.23895897220268547
0.5345929134270502,1766740224.404375275,/amcl_pose.pose.pose.position.y,0.04930044265493809
0.5146968861846877,1766740225.406352821,/amcl_pose.pose.pose.position.y,0.3362842055556512
0.48641916808679003,1766740226.408738626,/amcl_pose.pose.pose.position.y,0.625633723174081
0.4607730804808536,1766740227.411962980,/amcl_pose.pose.pose.position.y,0.907034886510914
0.49176033815501907,1766740229.417095806,/amcl_pose.pose.pose.position.y,0.5988903037762175
0.5024293785014867,1766740230.419989481,/amcl_pose.pose.pose.position.y,0.571554787339742
0.5095469180804131,1766740230.820620492,/amcl_pose.pose.pose.position.y,0.5861459048199396
0.5146604179141736,1766740231.224196415,/amcl_pose.pose.pose.position.y,0.5957327850871864
0.5132981749342811,1766740231.624126354,/amcl_pose.pose.pose.position.y,0.6109484660697445
0.5213970408740024,1766740232.025174965,/amcl_pose.pose.pose.position.y,0.6130306822787582
0.5199078852775929,1766740232.427394820,/amcl_pose.pose.pose.position.y,0.60319504056488
0.5113435245732164,1766740232.827381718,/amcl_pose.pose.pose.position.y,0.6031371438762023
0.5122727732624253,1766740233.229554477,/amcl_pose.pose.pose.position.y,0.6100790913615366
0.5128878917359498,1766740233.630349773,/amcl_pose.pose.pose.position.y,0.6041587467655813
0.5129162296516115,1766740234.032598605,/amcl_pose.pose.pose.position.y,0.6035255047560796
0.6721811968038635,1766740235.636559793,/amcl_pose.pose.pose.position.y,0.3565320057204218
0.8425819262508369,1766740236.639224126,/amcl_pose.pose.pose.position.y,0.12085730269841422
0.9419336800864769,1766740237.246522702,/amcl_pose.pose.pose.position.y,-0.03196065978073034
0.965982137103408,1766740237.445313587,/amcl_pose.pose.pose.position.y,-0.07869378066459777
1.0133485867268586,1766740237.645998687,/amcl_pose.pose.pose.position.y,-0.09615259640446185
0.7129969187730538,1766740239.350782063,/amcl_pose.pose.pose.position.y,-0.030609719098568095
0.5123135792474062,1766740240.654474922,/amcl_pose.pose.pose.position.y,0.01662795339521086
0.5003489093355521,1766740240.855388113,/amcl_pose.pose.pose.position.y,0.01573874297144907
0.49944839374432975,1766740240.953406394,/amcl_pose.pose.pose.position.y,0.020677849064433675
0.504247682213314,1766740241.054491334,/amcl_pose.pose.pose.position.y,0.025691706817142397
0.5102219795271711,1766740241.154677141,/amcl_pose.pose.pose.position.y,0.024830076976278825
0.5141031516477417,1766740241.355923082,/amcl_pose.pose.pose.position.y,0.025380694749051105
0.43767401680844814,1766740241.857605358,/amcl_pose.pose.pose.position.y,-0.2038405190230199
0.3338619904660883,1766740242.257474290,/amcl_pose.pose.pose.position.y,-0.46324830219584234
0.22253973600639462,1766740242.659115843,/amcl_pose.pose.pose.position.y,-0.7335816985429118
0.11960467099499456,1766740243.863028515,/amcl_pose.pose.pose.position.y,-0.9507206621237296
0.12499941439280048,1766740244.062108429,/amcl_pose.pose.pose.position.y,-0.9515922750764677
0.1184159351918357,1766740244.262570686,/amcl_pose.pose.pose.position.y,-0.9492932710619658
0.11579478793706229,1766740244.463135975,/amcl_pose.pose.pose.position.y,-0.9571045380581915
0.09794445185893154,1766740244.663849791,/amcl_pose.pose.pose.position.y,-0.9507555451844483
0.4678254254199064,1766740245.265225505,/amcl_pose.pose.pose.position.y,-1.048841975560804
0.7044173463107815,1766740245.465194396,/amcl_pose.pose.pose.position.y,-1.1088487831408265
0.7643280165136341,1766740245.865966861,/amcl_pose.pose.pose.position.y,-1.134473465392556
0.6336824303168535,1766740246.066034977,/amcl_pose.pose.pose.position.y,-1.0135197791323796
0.37036714556074135,1766740246.266910097,/amcl_pose.pose.pose.position.y,-0.7531807627889365
0.18402514316427052,1766740246.466738458,/amcl_pose.pose.pose.position.y,-0.5380919620454846
0.4083805057157452,1766740247.570535758,/amcl_pose.pose.pose.position.y,-0.7729505868564078
0.5562888189398331,1766740247.871046096,/amcl_pose.pose.pose.position.y,-0.9779174854554229
0.5691643618148379,1766740247.971383120,/amcl_pose.pose.pose.position.y,-1.0263033511727948
0.5602693009335589,1766740248.075007232,/amcl_pose.pose.pose.position.y,-1.0887675572735975
0.54530095596844,1766740248.172038593,/amcl_pose.pose.pose.position.y,-1.1400212367057097
0.5145100498310177,1766740248.272264541,/amcl_pose.pose.pose.position.y,-1.1839584127182383
0.5194769895556015,1766740248.373115892,/amcl_pose.pose.pose.position.y,-1.1763570246501165
0.5075810062460959,1766740248.473159591,/amcl_pose.pose.pose.position.y,-1.1701366808066047
0.5061471094085451,1766740248.573073297,/amcl_pose.pose.pose.position.y,-1.17406259629209
0.4971801495516503,1766740249.475762339,/amcl_pose.pose.pose.position.y,-1.1680796025887337
0.500463335675991,1766740249.676964883,/amcl_pose.pose.pose.position.y,-1.1735078313856369
0.2696751234925669,1766740250.481462180,/amcl_pose.pose.pose.position.y,-1.3750454004704267
0.49029614991910997,1766740252.785648232,/amcl_pose.pose.pose.position.y,-1.1845566878501965
0.7529858684524589,1766740252.986998706,/amcl_pose.pose.pose.position.y,-0.9377305625972798
0.9471003933836932,1766740253.187116046,/amcl_pose.pose.pose.position.y,-0.7094372228291277
0.9046399477668338,1766740254.891562289,/amcl_pose.pose.pose.position.y,-0.7191923581029526
0.8698096372551848,1766740255.093857537,/amcl_pose.pose.pose.position.y,-0.7179686743453693
0.5575336885035099,1766740255.593834437,/amcl_pose.pose.pose.position.y,-0.696949535182027
0.27329380792351043,1766740256.096158939,/amcl_pose.pose.pose.position.y,-0.6737678394059868
0.10038564385431024,1766740256.797388964,/amcl_pose.pose.pose.position.y,-0.5576307164390174
0.15845457950906527,1766740257.097971450,/amcl_pose.pose.pose.position.y,-0.2576236600674854
0.1573068880192142,1766740258.001033019,/amcl_pose.pose.pose.position.y,-0.6099888202774357
0.1262287633325498,1766740258.301825350,/amcl_pose.pose.pose.position.y,-0.9596470526903472
0.14773470048600965,1766740259.003382755,/amcl_pose.pose.pose.position.y,-0.6271587425397127
0.1925745835965717,1766740259.306052493,/amcl_pose.pose.pose.position.y,-0.3175310192773703
0.15692226831491274,1766740260.106905120,/amcl_pose.pose.pose.position.y,-0.562329264231091
-0.07836918727105523,1766740260.909260690,/amcl_pose.pose.pose.position.y,-0.3826772763893799
0.25245369092570896,1766740261.812111536,/amcl_pose.pose.pose.position.y,-0.47979184574817146
0.5254322851829352,1766740262.012432108,/amcl_pose.pose.pose.position.y,-0.6454901889297572
0.7842380628443247,1766740262.214738158,/amcl_pose.pose.pose.position.y,-0.8208006126159396
